"MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"20","RL",70,11200,1,"None",3,"Lvl","Inside",2,"Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard",0,0,3,3,"CBlock",3,3,1,3,906,1,0,134,1040,"GasA",5,1,"SBrkr",1040,0,0,1040,1,0,1,0,3,1,3,5,7,0,0,"Detchd",1965,1,1,384,3,3,2,0,0,0,0,0,0,0,"None","None",0,"2",2008,"WD","Normal",129500
"60","RL",85,11924,1,"None",2,"Lvl","Inside",2,"NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng",2,286,5,3,"PConc",5,3,1,6,998,1,0,177,1175,"GasA",5,1,"SBrkr",1182,1142,0,2324,1,0,3,0,4,1,5,11,7,2,4,"BuiltIn",2005,3,3,736,3,3,2,147,21,0,0,0,0,0,"None","None",0,"7",2006,"New","Partial",345000
"20","RL",72,12968,1,"None",1,"Lvl","Inside",2,"Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood",0,0,3,3,"CBlock",3,3,1,5,737,1,0,175,912,"GasA",3,1,"SBrkr",912,0,0,912,1,0,1,0,2,1,3,4,7,0,0,"Detchd",1962,1,1,352,3,3,2,140,0,0,0,176,0,0,"None","None",0,"9",2008,"WD","Normal",144000
"20","RL",91,10652,1,"None",2,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd",2,306,4,3,"PConc",4,3,3,1,0,1,0,1494,1494,"GasA",5,1,"SBrkr",1494,0,0,1494,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2006,2,3,840,3,3,2,160,33,0,0,0,0,0,"None","None",0,"8",2007,"New","Partial",279500
"20","RL",73,10920,1,"None",2,"Lvl","Corner",2,"NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd",1,212,3,3,"CBlock",3,3,1,4,733,1,0,520,1253,"GasA",3,1,"SBrkr",1253,0,0,1253,1,0,1,1,2,1,3,5,7,1,2,"Attchd",1960,2,1,352,3,3,2,0,213,176,0,0,0,0,"GdWo","None",0,"5",2008,"WD","Normal",157000
"45","RM",51,6120,1,"None",3,"Lvl","Corner",2,"BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng",0,0,3,3,"BrkTil",3,3,1,1,0,1,0,832,832,"GasA",5,1,"FuseA",854,0,0,854,0,0,1,0,2,1,3,5,7,0,0,"Detchd",1991,1,2,576,3,3,2,48,112,0,0,0,0,0,"GdPrv","None",0,"7",2007,"WD","Normal",132000
"20","RL",73,11241,1,"None",2,"Lvl","CulDSac",2,"NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng",1,180,3,3,"CBlock",3,3,1,5,578,1,0,426,1004,"GasA",5,1,"SBrkr",1004,0,0,1004,1,0,1,0,2,1,3,5,7,1,3,"Attchd",1970,3,2,480,3,3,2,0,0,0,0,0,0,0,"None","Shed",700,"3",2010,"WD","Normal",149000
"90","RL",72,10791,1,"None",3,"Lvl","Inside",2,"Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd",0,0,3,3,"Slab",0,0,0,0,0,0,0,0,0,"GasA",3,1,"SBrkr",1296,0,0,1296,0,0,2,0,2,2,3,6,7,0,0,"CarPort",1967,1,2,516,3,3,2,0,0,0,0,0,0,0,"None","Shed",500,"10",2006,"WD","Normal",90000
"20","RL",66,13695,1,"None",3,"Lvl","Inside",2,"SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd",0,0,3,3,"PConc",3,3,1,6,646,1,0,468,1114,"GasA",5,1,"SBrkr",1114,0,0,1114,1,0,1,1,3,1,4,6,7,0,0,"Detchd",2004,1,2,576,3,3,2,0,102,0,0,0,0,0,"None","None",0,"6",2008,"WD","Normal",159000
"20","RL",70,7560,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood",0,0,3,3,"CBlock",3,3,1,2,504,1,0,525,1029,"GasA",3,1,"SBrkr",1339,0,0,1339,0,0,1,0,3,1,3,6,6,0,0,"Attchd",1958,1,1,294,3,3,2,0,0,0,0,0,0,0,"MnPrv","None",0,"5",2009,"COD","Abnorml",139000
"60","RL",101,14215,1,"None",2,"Lvl","Corner",2,"NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd",1,380,4,3,"PConc",5,3,3,1,0,1,0,1158,1158,"GasA",5,1,"SBrkr",1158,1218,0,2376,0,0,3,1,4,1,4,9,7,1,4,"BuiltIn",2005,2,3,853,3,3,2,240,154,0,0,0,0,0,"None","None",0,"11",2006,"New","Partial",325300
"45","RM",57,7449,1,"Grvl",3,"Bnk","Inside",2,"IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng",0,0,3,3,"PConc",3,3,1,1,0,1,0,637,637,"GasA",5,1,"FuseF",1108,0,0,1108,0,0,1,0,3,1,4,6,7,1,4,"Attchd",1930,1,1,280,3,3,0,0,0,205,0,0,0,0,"GdPrv","None",0,"6",2007,"WD","Normal",139400
"20","RL",75,9742,1,"None",3,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd",1,281,4,3,"PConc",4,3,1,1,0,1,0,1777,1777,"GasA",5,1,"SBrkr",1795,0,0,1795,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2002,2,2,534,3,3,2,171,159,0,0,0,0,0,"None","None",0,"9",2008,"WD","Normal",230000
"120","RM",44,4224,1,"None",3,"Lvl","Inside",2,"MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd",0,0,3,3,"PConc",4,3,1,6,840,1,0,200,1040,"GasA",3,1,"SBrkr",1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,"Attchd",1976,1,2,572,3,3,2,100,110,0,0,0,0,0,"None","None",0,"6",2007,"WD","Normal",129900
"20","RL",72,8246,1,"None",2,"Lvl","Inside",2,"Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood",0,0,3,4,"CBlock",3,3,2,3,188,5,668,204,1060,"GasA",5,1,"SBrkr",1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,3,"Attchd",1968,1,1,270,3,3,2,406,90,0,0,0,0,0,"MnPrv","None",0,"5",2010,"WD","Normal",154000
"20","RL",110,14230,1,"None",3,"Lvl","Corner",2,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd",2,640,4,3,"PConc",4,3,1,1,0,1,0,1566,1566,"GasA",5,1,"SBrkr",1600,0,0,1600,0,0,2,0,3,1,4,7,7,1,4,"Attchd",2007,2,3,890,3,3,2,0,56,0,0,0,0,0,"None","None",0,"7",2009,"WD","Normal",256300
"20","RL",60,7200,1,"None",3,"Lvl","Corner",2,"NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng",0,0,3,3,"CBlock",3,3,2,4,234,3,486,180,900,"GasA",3,1,"SBrkr",900,0,0,900,0,1,1,0,3,1,4,5,7,0,0,"Detchd",2005,1,2,576,3,3,2,222,32,0,0,0,0,0,"None","None",0,"5",2010,"WD","Normal",134800
"20","RL",98,11478,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd",2,200,4,3,"PConc",5,3,1,6,1218,1,0,486,1704,"GasA",5,1,"SBrkr",1704,0,0,1704,1,0,2,0,3,1,4,7,7,1,4,"Attchd",2008,2,3,772,3,3,2,0,50,0,0,0,0,0,"None","None",0,"5",2010,"WD","Normal",306000
"20","RL",47,16321,1,"None",2,"Lvl","CulDSac",2,"NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd",0,0,3,3,"CBlock",3,3,4,4,1277,1,0,207,1484,"GasA",3,1,"SBrkr",1600,0,0,1600,1,0,1,0,2,1,3,6,7,2,4,"Attchd",1957,2,1,319,3,3,2,288,258,0,0,0,0,0,"None","None",0,"12",2006,"WD","Normal",207500
"30","RM",60,6324,1,"None",2,"Lvl","Inside",2,"BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd",0,0,3,3,"BrkTil",3,3,1,1,0,1,0,520,520,"GasA",2,0,"SBrkr",520,0,0,520,0,0,1,0,1,1,2,4,7,0,0,"Detchd",1920,1,1,240,2,3,2,49,0,87,0,0,0,0,"None","None",0,"5",2008,"WD","Normal",68500
"70","C (all)",50,8500,1,"Pave",3,"Lvl","Inside",2,"IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace",0,0,3,2,"BrkTil",3,3,1,1,0,1,0,649,649,"GasA",3,0,"SBrkr",649,668,0,1317,0,0,1,0,3,1,3,6,7,0,0,"Detchd",1920,1,1,250,3,2,0,0,54,172,0,0,0,0,"MnPrv","None",0,"7",2008,"WD","Normal",40000
"20","RL",72,8544,1,"None",2,"Lvl","CulDSac",2,"Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard",0,0,3,3,"CBlock",3,3,1,1,0,1,0,1228,1228,"GasA",4,1,"SBrkr",1228,0,0,1228,0,0,1,1,3,1,4,6,7,0,0,"Attchd",1966,1,1,271,3,3,2,0,65,0,0,0,0,0,"MnPrv","None",0,"6",2008,"WD","Normal",149350
"20","RL",85,11049,1,"None",3,"Lvl","Corner",2,"CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd",0,0,4,3,"PConc",5,3,3,1,0,1,0,1234,1234,"GasA",5,1,"SBrkr",1234,0,0,1234,0,0,2,0,3,1,4,7,7,0,0,"Attchd",2007,2,2,484,3,3,2,0,30,0,0,0,0,0,"None","None",0,"1",2008,"WD","Normal",179900
"20","RL",70,10552,1,"None",2,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace",0,0,3,3,"CBlock",3,3,1,3,1018,1,0,380,1398,"GasA",4,1,"SBrkr",1700,0,0,1700,0,1,1,1,4,1,4,6,7,1,4,"Attchd",1959,2,2,447,3,3,2,0,38,0,0,0,0,0,"None","None",0,"4",2010,"WD","Normal",165500
"120","RL",60,7313,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd",1,246,5,3,"PConc",5,3,1,6,1153,1,0,408,1561,"GasA",5,1,"SBrkr",1561,0,0,1561,1,0,2,0,2,1,5,6,7,1,4,"Attchd",2005,3,2,556,3,3,2,203,47,0,0,0,0,0,"None","None",0,"8",2007,"WD","Normal",277500
"60","RL",108,13418,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd",2,132,4,3,"PConc",5,3,3,1,0,1,0,1117,1117,"GasA",5,1,"SBrkr",1132,1320,0,2452,0,0,3,1,4,1,4,9,7,1,4,"BuiltIn",2004,3,3,691,3,3,2,113,32,0,0,0,0,0,"None","None",0,"9",2006,"WD","Normal",309000
"20","RL",112,10859,1,"None",3,"Lvl","Corner",2,"CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd",0,0,3,3,"PConc",4,3,1,1,0,1,0,1097,1097,"GasA",5,1,"SBrkr",1097,0,0,1097,0,0,1,1,3,1,3,6,7,0,0,"Attchd",1995,1,2,672,3,3,2,392,64,0,0,0,0,0,"None","None",0,"6",2009,"WD","Normal",145000
"20","RL",74,8532,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng",1,650,3,3,"CBlock",3,3,1,3,1213,1,0,84,1297,"GasA",4,1,"SBrkr",1297,0,0,1297,0,1,1,0,3,1,3,5,7,1,3,"Attchd",1954,3,2,498,3,3,2,0,0,0,0,0,0,0,"None","None",0,"10",2009,"WD","Normal",153000
"20","RL",68,7922,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,7,1953,2007,"Gable","CompShg","VinylSd","VinylSd",0,0,3,4,"CBlock",3,3,1,6,731,1,0,326,1057,"GasA",3,1,"SBrkr",1057,0,0,1057,1,0,1,0,3,1,4,5,7,0,0,"Detchd",1953,1,1,246,3,3,2,0,52,0,0,0,0,0,"None","None",0,"1",2010,"WD","Abnorml",109000
"90","RL",65,6040,1,"None",3,"Lvl","Inside",2,"Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood",0,0,3,3,"PConc",0,0,0,0,0,0,0,0,0,"GasA",3,0,"FuseP",1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,0,"No Garage",1955,0,0,0,0,0,0,0,0,0,0,0,0,0,"None","None",0,"6",2008,"WD","AdjLand",82000
"20","RL",84,8658,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng",1,101,3,3,"CBlock",3,3,1,3,643,1,0,445,1088,"GasA",5,1,"SBrkr",1324,0,0,1324,0,0,2,0,3,1,3,6,7,1,3,"Attchd",1965,2,2,440,3,3,2,0,138,0,0,0,0,0,"GdWo","None",0,"12",2006,"WD","Abnorml",160000
"20","RL",115,16905,1,"None",3,"Lvl","Inside",2,"Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd",0,0,3,4,"CBlock",3,3,4,4,967,1,0,383,1350,"GasA",4,1,"SBrkr",1328,0,0,1328,0,1,1,1,2,1,3,5,7,2,4,"Attchd",1959,2,1,308,3,3,1,0,104,0,0,0,0,0,"None","None",0,"7",2007,"WD","Normal",170000
"85","RL",67,9180,1,"None",2,"Lvl","CulDSac",2,"SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard",0,0,3,3,"CBlock",4,3,3,5,747,2,93,0,840,"GasA",4,1,"SBrkr",884,0,0,884,1,0,1,0,2,1,4,5,7,0,0,"Attchd",1983,2,2,504,3,4,2,240,0,0,0,0,0,0,"MnPrv","None",0,"12",2007,"WD","Normal",144000
"20","RL",70,9200,1,"None",2,"Lvl","CulDSac",2,"CollgCr","Norm","Norm","1Fam","1Story",5,6,1975,1980,"Hip","CompShg","VinylSd","VinylSd",0,0,3,3,"CBlock",4,3,3,2,280,4,491,167,938,"GasA",3,1,"SBrkr",938,0,0,938,1,0,1,0,3,1,3,5,7,0,0,"Detchd",1977,1,1,308,3,3,2,145,0,0,0,0,0,0,"MnPrv","None",0,"7",2008,"WD","Normal",130250
"20","RL",70,7945,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng",0,0,3,3,"CBlock",3,3,1,5,179,4,506,465,1150,"GasA",5,1,"FuseA",1150,0,0,1150,1,0,1,0,3,1,3,6,7,0,0,"Attchd",1959,2,1,300,3,3,2,0,0,0,0,0,0,0,"None","None",0,"5",2006,"WD","Normal",141000
"120","RL",61,7658,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd",1,412,5,3,"PConc",5,3,1,6,456,1,0,1296,1752,"GasA",5,1,"SBrkr",1752,0,0,1752,1,0,2,0,2,1,5,6,7,1,4,"Attchd",2005,2,2,576,3,3,2,196,82,0,0,0,0,0,"None","None",0,"2",2010,"WD","Normal",319900
"50","RL",48,12822,1,"None",2,"Lvl","CulDSac",2,"Mitchel","Norm","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd",0,0,4,3,"PConc",5,3,1,6,1351,1,0,83,1434,"GasA",5,1,"SBrkr",1518,631,0,2149,1,0,1,1,1,1,4,6,7,1,5,"Attchd",2003,2,2,670,3,3,2,168,43,0,0,198,0,0,"None","None",0,"8",2009,"WD","Abnorml",239686
"20","FV",84,11096,1,"None",3,"Lvl","Inside",2,"Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd",0,0,4,3,"PConc",4,3,3,6,24,1,0,1632,1656,"GasA",5,1,"SBrkr",1656,0,0,1656,0,0,2,0,3,1,4,7,7,0,0,"Attchd",2006,2,3,826,3,3,2,0,146,0,0,0,0,0,"None","None",0,"7",2007,"WD","Normal",249700
"190","RM",33,4456,1,"None",3,"Lvl","Inside",2,"OldTown","Norm","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","CompShg","MetalSd","MetalSd",0,0,3,3,"BrkTil",3,3,1,1,0,1,0,736,736,"GasA",4,1,"SBrkr",736,716,0,1452,0,0,2,0,2,3,3,8,7,0,0,"No Garage",1920,0,0,0,0,0,0,0,0,102,0,0,0,0,"None","None",0,"6",2009,"New","Partial",113000
"20","RL",66,7742,1,"None",3,"Lvl","Inside",2,"Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","HdBoard","HdBoard",0,0,3,3,"CBlock",3,3,1,4,763,1,0,192,955,"GasA",5,1,"SBrkr",955,0,0,955,1,0,1,0,3,1,3,6,7,0,0,"Attchd",1966,1,1,386,3,3,2,0,0,0,0,0,0,0,"MnPrv","None",0,"1",2007,"WD","Normal",127000
"60","RL",64,13869,1,"None",1,"Lvl","Corner",2,"Gilbert","Norm","Norm","1Fam","2Story",6,6,1997,1997,"Gable","CompShg","VinylSd","VinylSd",0,0,3,3,"PConc",4,3,3,6,182,1,0,612,794,"GasA",4,1,"SBrkr",794,676,0,1470,0,1,2,0,3,1,3,6,7,0,0,"Attchd",1997,3,2,388,3,3,2,0,75,0,0,0,0,0,"None","None",0,"7",2007,"WD","Normal",177000
"50","RM",52,6240,1,"None",3,"Lvl","Inside",2,"BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","CompShg","Wd Sdng","Wd Sdng",0,0,3,3,"PConc",3,3,1,1,0,1,0,816,816,"GasA",3,1,"SBrkr",816,0,360,1176,0,0,1,0,3,1,3,6,7,1,4,"Detchd",1985,1,2,528,3,3,2,112,0,0,0,0,0,0,"MnPrv","Shed",400,"9",2006,"WD","Normal",114500
"90","RM",110,8472,0,"None",1,"Bnk","Corner",1,"IDOTRR","RRNn","Norm","Duplex","1Story",5,5,1963,1963,"Gable","CompShg","Wd Sdng","Wd Sdng",0,0,2,3,"CBlock",4,3,4,2,104,6,712,0,816,"GasA",3,0,"SBrkr",816,0,0,816,1,0,1,0,2,1,3,5,7,0,0,"CarPort",1963,1,2,516,3,3,2,106,0,0,0,0,0,0,"None","None",0,"5",2010,"WD","Normal",110000
"20","RL",68,50271,1,"None",2,"Low","Inside",2,"Veenker","Norm","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShngl","WdShing","Wd Shng",0,0,4,3,"CBlock",5,3,4,6,1810,1,0,32,1842,"GasA",4,1,"SBrkr",1842,0,0,1842,2,0,0,1,0,1,4,5,7,1,4,"Attchd",1981,3,3,894,3,3,2,857,72,0,0,0,0,0,"None","None",0,"11",2006,"WD","Normal",385000
"80","RL",60,7134,1,"None",3,"Bnk","Inside",1,"NAmes","Norm","Norm","1Fam","SLvl",5,5,1955,1955,"Gable","CompShg","MetalSd","MetalSd",0,0,3,3,"CBlock",3,3,1,5,384,1,0,0,384,"GasA",3,1,"SBrkr",1360,0,0,1360,0,0,1,0,3,1,3,6,6,1,3,"Detchd",1962,1,2,572,3,3,2,0,50,0,0,0,0,0,"MnPrv","None",0,"2",2007,"WD","Normal",130000
"20","RL",100,10175,1,"None",2,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",6,5,1964,1964,"Gable","CompShg","HdBoard","Plywood",1,272,3,3,"CBlock",3,3,1,4,490,1,0,935,1425,"GasA",4,1,"SBrkr",1425,0,0,1425,0,0,2,0,3,1,3,7,7,1,4,"Attchd",1964,2,2,576,3,3,2,0,0,0,407,0,0,0,"None","None",0,"7",2008,"WD","Normal",180500
