"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF"
1471,NA,"RH",26,5858,1,1,3,"Lvl","AllPub","FR2",3,"NAmes","Norm","Norm","TwnhsE","1Story",7,5,1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,4,3,"PConc",5,4,2,7,1051,5,0,354,1405,"GasA",5,2,"SBrkr",1337,0,0,1337,1,0,2,0,2,1,4,5,8,1,3,"Attchd",1999,4,2,511,4,4,3,203,68,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,2742
1472,NA,"RM",21,1680,1,1,4,"Lvl","AllPub","Inside",3,"BrDale","Norm","Norm","Twnhs","2Story",6,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",504,3,3,"CBlock",4,4,2,4,156,2,0,327,483,"GasA",3,2,"SBrkr",483,504,0,987,0,0,1,1,2,1,3,5,8,0,1,"Detchd",1971,2,1,264,4,4,3,275,0,0,0,0,0,1,1,"None",0,2,5,"COD","Normal",NA,1470
1473,NA,"RM",21,1680,1,1,4,"Lvl","AllPub","Inside",3,"BrDale","Norm","Norm","Twnhs","2Story",5,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",492,3,3,"CBlock",4,4,2,4,300,2,0,225,525,"GasA",3,2,"SBrkr",525,567,0,1092,0,0,1,1,3,1,3,6,8,0,1,"Detchd",1997,2,1,320,4,4,3,0,0,0,0,0,0,1,1,"None",0,3,5,"WD","Normal",NA,1617
1474,NA,"RL",24,2280,1,1,4,"Lvl","AllPub","FR2",3,"NPkVill","Norm","Norm","Twnhs","2Story",6,6,1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,3,3,"CBlock",4,4,2,6,514,2,0,341,855,"GasA",3,2,"SBrkr",855,601,0,1456,0,0,2,1,3,1,4,6,8,1,4,"Attchd",1975,2,2,440,4,4,3,173,0,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,2311
1475,NA,"RL",24,2280,1,1,4,"Lvl","AllPub","FR2",3,"NPkVill","Norm","Norm","Twnhs","1Story",7,6,1975,1975,"Gable","CompShg","Plywood","Brk Cmn","None",0,3,3,"CBlock",5,4,2,2,0,2,0,836,836,"GasA",5,2,"SBrkr",836,0,0,836,0,0,1,0,2,1,3,4,8,0,1,"Attchd",1975,2,1,308,4,4,3,0,30,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,1672
1476,NA,"RL",102,12858,1,1,3,"Lvl","AllPub","Inside",3,"NridgHt","Norm","Norm","1Fam","2Story",9,5,2009,2010,"Gable","CompShg","VinylSd","VinylSd","Stone",162,5,3,"PConc",6,4,2,2,0,2,0,1590,1590,"GasA",5,2,"SBrkr",1627,707,0,2334,0,0,2,1,3,1,5,10,8,1,5,"Attchd",2009,4,3,751,4,4,3,144,133,0,0,0,0,1,1,"None",0,1,5,"New","Partial",NA,3924
1477,NA,"RL",94,12883,1,1,3,"Lvl","AllPub","Corner",3,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2009,2010,"Gable","CompShg","VinylSd","VinylSd","Stone",256,4,3,"PConc",5,4,2,2,0,2,0,1544,1544,"GasA",5,2,"SBrkr",1544,0,0,1544,0,0,2,0,3,1,4,7,8,0,1,"Attchd",2009,3,3,868,4,4,3,0,35,0,0,0,0,1,1,"None",0,6,5,"New","Partial",NA,3088
1478,NA,"RL",90,11520,1,1,4,"Lvl","AllPub","Inside",3,"NridgHt","PosN","Norm","1Fam","1Story",9,5,2005,2005,"Hip","CompShg","VinylSd","VinylSd","BrkFace",615,4,3,"PConc",6,4,2,7,110,2,0,1588,1698,"GasA",5,2,"SBrkr",1698,0,0,1698,0,0,2,0,3,1,5,7,8,1,5,"Attchd",2005,4,3,730,4,4,3,192,74,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,3396
1479,NA,"RL",79,14122,1,1,3,"Lvl","AllPub","Inside",3,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Hip","CompShg","CemntBd","CmentBd","BrkFace",240,4,3,"PConc",6,4,2,7,28,2,0,1794,1822,"GasA",5,2,"SBrkr",1822,0,0,1822,0,0,2,0,3,1,5,8,8,1,5,"Attchd",2005,3,3,678,4,4,3,0,119,0,0,0,0,1,1,"None",0,2,5,"WD","Normal",NA,3644
1480,NA,"RL",110,14300,1,1,4,"HLS","AllPub","Inside",2,"NridgHt","Norm","Norm","1Fam","1Story",9,5,2003,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1095,5,3,"PConc",6,4,5,7,1373,2,0,1473,2846,"GasA",5,2,"SBrkr",2696,0,0,2696,1,0,2,1,3,1,5,10,8,2,5,"Attchd",2003,4,3,958,4,4,3,220,150,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,5542
1481,NA,"RL",105,13650,1,1,4,"Lvl","AllPub","Corner",3,"NridgHt","Norm","Norm","1Fam","2Story",8,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",232,4,3,"PConc",5,4,5,7,578,2,0,1093,1671,"GasA",5,2,"SBrkr",1687,563,0,2250,1,0,2,1,3,1,4,7,8,1,6,"Attchd",2002,4,3,756,4,4,3,238,130,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,3921
1482,NA,"RL",41,7132,1,1,3,"Lvl","AllPub","Inside",3,"NridgHt","Norm","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",178,4,3,"PConc",5,4,3,7,24,2,0,1346,1370,"GasA",5,2,"SBrkr",1370,0,0,1370,0,0,2,0,2,1,4,6,8,1,5,"Attchd",2006,3,2,484,4,4,3,120,49,0,0,0,0,1,1,"None",0,4,5,"WD","Normal",NA,2740
1483,NA,"RL",100,18494,1,1,3,"Lvl","AllPub","Corner",3,"Gilbert","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",5,4,2,2,0,2,0,1324,1324,"GasA",5,2,"SBrkr",1324,0,0,1324,0,0,2,0,3,1,4,6,8,0,1,"Attchd",2005,4,2,430,4,4,3,36,23,0,0,0,0,1,1,"None",0,1,5,"WD","Normal",NA,2648
1484,NA,"RL",43,3203,1,1,4,"Lvl","AllPub","Inside",3,"Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",14,4,3,"PConc",5,4,4,7,16,2,0,1129,1145,"GasA",5,2,"SBrkr",1145,0,0,1145,0,0,2,0,2,1,4,6,8,0,1,"Attchd",2006,4,2,437,4,4,3,100,116,0,0,0,0,1,1,"None",0,1,5,"WD","Normal",NA,2290
1485,NA,"RL",67,13300,1,1,3,"Lvl","AllPub","Inside",3,"Gilbert","Norm","Norm","1Fam","SLvl",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",5,4,2,7,326,2,0,58,384,"GasA",5,2,"SBrkr",744,630,0,1374,1,0,2,1,3,1,4,7,8,1,5,"BuiltIn",2004,4,2,400,4,4,3,100,0,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,1758
1486,NA,"RL",63,8577,1,1,3,"Lvl","AllPub","Inside",3,"Gilbert","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",5,4,2,2,0,2,0,847,847,"GasA",5,2,"SBrkr",847,886,0,1733,0,0,2,1,3,1,4,7,8,1,5,"BuiltIn",2004,4,2,433,4,4,3,144,48,0,0,0,0,1,1,"None",0,4,5,"WD","Normal",NA,2580
1487,NA,"RL",60,17433,1,1,2,"Lvl","AllPub","CulDSac",3,"NoRidge","Norm","Norm","1Fam","2Story",8,5,1998,1998,"Hip","CompShg","VinylSd","VinylSd","BrkFace",114,4,3,"PConc",6,4,2,2,0,2,0,1629,1629,"GasA",5,2,"SBrkr",1645,830,0,2475,0,0,2,1,4,1,4,7,8,1,4,"Attchd",1998,4,3,962,4,4,3,23,172,0,0,256,0,1,1,"None",0,1,5,"WD","Normal",NA,4104
1488,NA,"RL",73,8987,1,1,4,"Lvl","AllPub","Inside",3,"Somerst","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",226,4,3,"PConc",5,4,1,2,0,2,0,1595,1595,"GasA",5,2,"SBrkr",1595,0,0,1595,0,0,2,0,2,1,4,6,8,1,5,"Attchd",2005,3,3,880,4,4,3,144,0,0,0,0,0,1,1,"None",0,5,5,"WD","Normal",NA,3190
1489,NA,"FV",92,9215,1,1,4,"Lvl","AllPub","Inside",3,"Somerst","Norm","Norm","1Fam","1Story",7,5,2009,2010,"Hip","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",5,4,2,2,0,2,0,1218,1218,"GasA",5,2,"SBrkr",1218,0,0,1218,0,0,2,0,2,1,4,4,8,0,1,"Attchd",2009,3,2,676,4,4,3,0,136,0,0,0,0,1,1,"None",0,4,5,"New","Partial",NA,2436
1490,NA,"FV",84,10440,1,1,4,"Lvl","AllPub","Corner",3,"Somerst","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",6,4,2,7,1414,2,0,54,1468,"GasA",5,2,"SBrkr",1468,0,0,1468,1,0,2,0,2,1,4,6,8,1,5,"Attchd",2005,4,2,528,4,4,3,0,102,0,0,216,0,1,1,"None",0,5,5,"WD","Normal",NA,2936
1491,NA,"RL",70,11920,1,1,4,"Lvl","AllPub","Inside",3,"SawyerW","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",122,4,3,"PConc",5,4,4,2,0,2,0,831,831,"GasA",5,2,"SBrkr",831,828,0,1659,0,0,2,1,3,1,4,8,8,0,1,"Attchd",2004,3,2,484,4,4,3,144,68,0,0,0,0,1,1,"None",0,4,5,"WD","Normal",NA,2490
1492,NA,"RH",70,9800,1,1,4,"Lvl","AllPub","Corner",3,"SawyerW","Feedr","Norm","1Fam","1Story",5,5,1920,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,2,"BrkTil",4,4,2,2,0,2,0,816,816,"GasA",3,1,"FuseA",1012,0,0,1012,0,0,1,0,2,1,3,5,8,0,1,"Detchd",1920,2,1,429,4,4,3,121,0,80,0,0,0,1,1,"None",0,4,5,"WD","Normal",NA,1828
1493,NA,"RL",39,15410,1,1,3,"Lvl","AllPub","CulDSac",3,"Sawyer","RRNe","Norm","1Fam","1Story",6,6,1974,2002,"Hip","CompShg","Plywood","Plywood","BrkCmn",250,3,4,"CBlock",4,4,5,5,126,7,859,223,1208,"GasA",5,2,"SBrkr",1494,0,0,1494,1,0,2,0,3,1,3,7,8,2,3,"Attchd",1974,4,2,461,4,4,3,296,0,186,0,0,0,1,5,"None",0,4,5,"WD","Abnorml",NA,2702
1494,NA,"RL",85,13143,1,1,3,"Lvl","AllPub","Inside",3,"NoRidge","Norm","Norm","1Fam","2Story",8,5,1993,1993,"Gable","CompShg","HdBoard","ImStucc","BrkFace",504,4,3,"PConc",5,4,2,3,250,7,981,0,1231,"GasA",5,2,"SBrkr",1251,1098,0,2349,1,0,2,1,4,1,4,9,8,1,4,"Attchd",1993,3,3,762,4,4,3,32,130,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,3580
1495,NA,"RL",88,11134,1,1,4,"Lvl","AllPub","Inside",3,"NoRidge","Norm","Norm","1Fam","2Story",8,5,1992,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",180,4,3,"PConc",5,4,2,7,1129,2,0,261,1390,"GasA",5,2,"SBrkr",1402,823,0,2225,1,0,2,1,4,1,4,7,8,1,4,"Attchd",1992,3,3,713,4,4,3,198,30,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,3615
1496,NA,"FV",25,4835,1,1,3,"Lvl","AllPub","CulDSac",3,"Somerst","Norm","Norm","TwnhsE","1Story",7,5,2004,2005,"Gable","CompShg","MetalSd","MetalSd","None",0,4,3,"PConc",6,4,4,7,1298,2,0,190,1488,"GasA",5,2,"SBrkr",1488,0,0,1488,1,0,2,0,2,1,4,6,8,1,5,"Attchd",2004,4,2,506,4,4,3,168,50,0,0,0,0,1,1,"None",0,3,5,"WD","Normal",NA,2976
1497,NA,"FV",39,3515,1,2,4,"Lvl","AllPub","Inside",3,"Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",5,4,2,2,0,2,0,840,840,"GasA",5,2,"SBrkr",840,840,0,1680,0,0,2,1,2,1,4,3,8,0,1,"Attchd",2004,3,2,588,4,4,3,0,111,0,0,0,0,1,1,"None",0,1,5,"WD","Normal",NA,2520
1498,NA,"FV",30,3215,1,2,4,"Lvl","AllPub","Inside",3,"Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg","MetalSd","MetalSd","BrkFace",120,4,3,"PConc",5,4,4,7,280,2,0,320,600,"GasA",5,2,"SBrkr",600,600,0,1200,0,0,2,1,2,1,4,4,8,0,1,"Detchd",2004,3,2,480,4,4,3,0,172,0,0,0,0,1,1,"None",0,4,5,"ConLD","Normal",NA,1800
1499,NA,"FV",24,2544,1,2,4,"Lvl","AllPub","Inside",3,"Somerst","Norm","Norm","Twnhs","2Story",7,5,2004,2005,"Gable","CompShg","MetalSd","MetalSd","None",0,4,3,"PConc",5,4,2,7,368,6,42,190,600,"GasA",5,2,"SBrkr",600,600,0,1200,1,0,2,1,2,1,4,4,8,0,1,"Detchd",2004,3,2,480,4,4,3,0,172,0,0,0,0,1,1,"None",0,2,5,"WD","Normal",NA,1800
1500,NA,"FV",24,2544,1,2,4,"Lvl","AllPub","Inside",3,"Somerst","Norm","Norm","Twnhs","2Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",216,4,3,"PConc",5,4,2,7,376,2,0,224,600,"GasA",5,2,"SBrkr",600,636,0,1236,1,0,2,1,2,1,4,4,8,0,1,"Detchd",2005,3,2,480,4,4,3,0,166,0,0,0,0,1,1,"None",0,5,5,"WD","Normal",NA,1836
1501,NA,"FV",24,2980,1,1,4,"Lvl","AllPub","Corner",3,"Somerst","Norm","Norm","TwnhsE","2Story",6,5,2000,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",1159,4,3,"PConc",5,4,2,7,466,2,0,290,756,"GasA",5,2,"SBrkr",756,756,0,1512,1,0,2,1,2,1,4,5,8,0,1,"Detchd",2000,2,2,440,4,4,3,0,32,0,0,0,0,1,1,"None",0,5,5,"WD","Normal",NA,2268
1502,NA,"FV",21,2403,1,1,3,"Lvl","AllPub","FR2",3,"Somerst","Norm","Norm","TwnhsE","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",5,4,2,7,244,2,0,286,530,"GasA",5,2,"SBrkr",530,550,0,1080,0,0,2,1,2,1,4,4,8,0,1,"Attchd",2003,3,2,496,4,4,3,0,50,0,0,0,0,1,1,"None",0,6,5,"WD","Normal",NA,1610
1503,NA,"FV",57,12853,1,2,3,"Lvl","AllPub","Inside",3,"Somerst","Norm","Norm","1Fam","1Story",8,5,2010,2010,"Gable","CompShg","CemntBd","CmentBd","None",0,4,3,"PConc",6,2,2,7,1032,2,0,610,1642,"GasA",5,2,"SBrkr",1418,0,0,1418,1,0,1,1,1,1,4,6,8,1,5,"Attchd",2010,3,3,852,4,4,3,160,192,0,224,0,0,1,1,"None",0,4,5,"New","Partial",NA,3060
1504,NA,"FV",68,7379,1,1,3,"Lvl","AllPub","Inside",3,"Somerst","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",5,4,2,7,484,2,0,491,975,"GasA",5,2,"SBrkr",975,873,0,1848,1,0,2,1,3,1,4,7,8,1,4,"Attchd",2000,3,2,592,4,4,3,280,184,0,0,0,0,1,1,"None",0,4,5,"WD","Normal",NA,2823
1505,NA,"FV",80,8000,1,1,4,"Lvl","AllPub","Inside",3,"Somerst","Norm","Norm","1Fam","1Story",7,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",5,4,2,7,833,2,0,659,1492,"GasA",5,2,"SBrkr",1492,0,0,1492,1,0,2,0,3,1,4,6,8,1,5,"Attchd",2002,3,2,596,4,4,3,277,137,0,0,0,0,1,1,"None",0,4,5,"WD","Normal",NA,2984
1506,NA,"RL",51,10456,1,1,3,"Lvl","AllPub","Inside",3,"NWAmes","Norm","Norm","1Fam","1Story",6,6,1967,1967,"Hip","CompShg","HdBoard","HdBoard","BrkFace",120,3,3,"CBlock",4,4,2,7,506,2,0,1323,1829,"GasA",4,2,"SBrkr",1829,0,0,1829,1,0,2,0,4,1,3,8,8,0,1,"Attchd",1967,3,2,535,4,4,3,0,76,0,0,0,0,1,1,"None",0,5,5,"WD","Normal",NA,3658
1507,NA,"RL",80,10791,1,1,4,"Lvl","AllPub","Inside",3,"NWAmes","Norm","Norm","1Fam","2Story",6,5,1993,1993,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"PConc",5,4,3,7,1137,2,0,143,1280,"GasA",5,2,"SBrkr",1280,1215,0,2495,1,0,2,1,4,1,4,9,8,1,4,"Attchd",1993,2,2,660,4,4,3,224,32,0,0,0,0,1,1,"None",0,3,5,"WD","Normal",NA,3775
1508,NA,"RL",87,18837,1,1,3,"Lvl","AllPub","Inside",3,"NWAmes","Norm","Norm","1Fam","1.5Fin",6,5,1978,1978,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"PConc",5,4,3,6,687,3,46,491,1224,"GasA",3,2,"SBrkr",1287,604,0,1891,0,1,3,0,3,1,3,7,8,1,4,"Attchd",1978,3,2,678,4,4,3,0,69,0,0,0,0,1,1,"None",0,4,5,"WD","Normal",NA,3115
1509,NA,"RL",80,9600,1,1,4,"Lvl","AllPub","Inside",3,"NWAmes","Norm","Norm","1Fam","2Story",6,6,1971,1971,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"CBlock",4,4,2,6,329,2,0,386,715,"GasA",3,2,"SBrkr",930,715,0,1645,0,0,1,2,4,1,3,7,8,0,1,"Attchd",1971,3,2,441,4,4,3,0,78,0,0,0,0,1,3,"None",0,6,5,"WD","Normal",NA,2360
1510,NA,"RL",80,9600,1,1,4,"Lvl","AllPub","Inside",3,"NAmes","Norm","Norm","1Fam","1Story",5,5,1966,1966,"Hip","CompShg","VinylSd","VinylSd","BrkFace",172,3,3,"CBlock",4,4,2,4,698,2,0,534,1232,"GasA",3,2,"SBrkr",1232,0,0,1232,1,0,1,1,3,1,3,6,8,0,1,"Attchd",1966,3,2,490,4,4,3,0,224,0,0,0,0,1,1,"None",0,4,5,"WD","Normal",NA,2464
1511,NA,"RL",90,9900,1,1,4,"Lvl","AllPub","Corner",3,"NAmes","Norm","Norm","1Fam","1Story",5,5,1966,1966,"Hip","CompShg","HdBoard","HdBoard","None",0,3,3,"PConc",5,4,2,5,1059,2,0,150,1209,"GasA",4,2,"SBrkr",1209,0,0,1209,1,0,1,0,3,1,3,6,8,0,1,"Attchd",1966,3,2,504,4,4,3,0,0,120,0,0,0,1,1,"None",0,4,5,"ConLD","Normal",NA,2418
1512,NA,"RL",88,9680,1,1,4,"Lvl","AllPub","Inside",3,"NAmes","Norm","Norm","1Fam","1Story",5,6,1967,1967,"Gable","CompShg","Wd Sdng","Plywood","BrkFace",268,3,3,"CBlock",4,4,2,5,1010,2,0,500,1510,"GasA",5,2,"SBrkr",1510,0,0,1510,1,0,2,0,3,1,4,6,8,0,1,"Attchd",1967,3,2,517,4,4,3,0,40,0,0,204,0,1,5,"None",0,4,5,"WD","Normal",NA,3020
1513,NA,"RL",70,10600,1,2,3,"Lvl","AllPub","Inside",3,"NAmes","Norm","Norm","1Fam","SLvl",6,5,1964,1964,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",4,4,2,2,0,2,0,533,533,"GasA",3,2,"SBrkr",1131,644,0,1775,0,0,2,0,3,1,3,8,8,0,1,"Attchd",1964,2,2,480,4,4,3,0,172,0,0,0,0,1,1,"None",0,5,5,"COD","Family",NA,2308
1514,NA,"RL",98,13260,1,1,3,"Lvl","AllPub","Inside",3,"NAmes","Norm","Norm","Duplex","1Story",5,6,1962,2001,"Hip","CompShg","HdBoard","HdBoard","BrkFace",144,3,3,"CBlock",4,4,2,5,1500,2,0,228,1728,"GasA",3,2,"SBrkr",1728,0,0,1728,2,0,2,0,6,2,3,10,8,0,1,"None",0,1,0,0,1,1,3,0,0,0,0,0,0,1,1,"None",0,1,5,"Oth","Abnorml",NA,3456
